label,Random,Blanka,Dhalsim,Edmond Honda,Zangief,Guile,Lily,Dee Jay,JP,Marisa,Manon,Kimberly,Chun-Li,Ryu,Jamie,Luke,Ken,Juri,Cammy
Rookie 1,12.0,25,25,29,30,46,46,55,77,87,110,119,128,133,150,161,199,259,309
Rookie 1,12.0,25,25,29,30,46,46,55,77,87,110,119,128,133,150,161,199,259,309
Rookie 2,13.0,23,28,37,37,44,52,48,64,99,125,110,126,131,126,157,197,283,300
Rookie 2,13.0,23,28,37,37,44,52,48,64,99,125,110,126,131,126,157,197,283,300
Rookie 3,16.0,10,23,42,46,31,38,65,55,107,125,87,119,152,150,147,250,235,302
Rookie 3,16.0,10,23,42,46,31,38,65,55,107,125,87,119,152,150,147,250,235,302
Rookie 4,11.0,19,33,47,51,42,54,55,59,125,117,68,97,163,116,137,251,237,318
Rookie 4,11.0,19,33,47,51,42,54,55,59,125,117,68,97,163,116,137,251,237,318
Rookie 5,9.0,26,43,33,68,42,48,55,57,126,103,88,107,167,122,129,260,222,295
Rookie 5,9.0,26,43,33,68,42,48,55,57,126,103,88,107,167,122,129,260,222,295
Iron 1,9.0,31,39,53,110,61,36,38,74,153,152,106,93,87,122,149,160,229,298
Iron 1,9.0,31,39,53,110,61,36,38,74,153,152,106,93,87,122,149,160,229,298
Iron 2,8.0,17,51,55,147,62,33,26,71,157,165,103,102,107,117,174,177,120,308
Iron 2,8.0,17,51,55,147,62,33,26,71,157,165,103,102,107,117,174,177,120,308
Iron 3,6.0,37,35,65,146,56,74,72,63,163,139,77,84,87,89,160,219,197,231
Iron 3,6.0,37,35,65,146,56,74,72,63,163,139,77,84,87,89,160,219,197,231
Iron 4,3.0,30,29,66,145,40,60,64,56,150,151,65,54,187,89,134,291,163,223
Iron 4,3.0,30,29,66,145,40,60,64,56,150,151,65,54,187,89,134,291,163,223
Iron 5,6.0,41,24,67,150,65,58,68,74,164,133,66,50,193,80,105,316,154,186
Iron 5,6.0,41,24,67,150,65,58,68,74,164,133,66,50,193,80,105,316,154,186
Bronze 1,11.0,42,17,56,144,74,87,75,85,163,144,72,85,104,94,145,229,166,207
Bronze 1,11.0,42,17,56,144,74,87,75,85,163,144,72,85,104,94,145,229,166,207
Bronze 2,10.0,16,43,83,214,83,26,36,88,204,184,94,88,102,102,152,170,92,213
Bronze 2,10.0,16,43,83,214,83,26,36,88,204,184,94,88,102,102,152,170,92,213
Bronze 3,6.0,36,36,84,232,79,91,89,69,187,190,68,85,95,112,107,152,123,159
Bronze 3,6.0,36,36,84,232,79,91,89,69,187,190,68,85,95,112,107,152,123,159
